,gs,packRatio,frontSpeed,temp.sum,whole.ring.burning.time,litterbedDens,maxTemp,massLoss,clade,clade2
Abies amabilis,Abies amabilis,0.142983285,62.48333333,193.6389058,254,59.22149976,305.556,49.458,g,o
Abies veitchii,Abies veitchii,0.183588617,16.76666667,21.99935178,75.6,55.044692,83.032,2.86,g,o
Agathis robusta,Agathis robusta,0.034921709,25.13333333,391.2486761,153.6666667,13.50361483,587.4066667,100,g,o
Araucaria angustifolia,Araucaria angustifolia,0.022023903,17.3,192.9665931,81.4,7.77039905,477.016,100,g,o
Araucaria araucana,Araucaria araucana,0.068054299,44,794.0976338,316.4,33.45054932,778.468,100,g,o
Araucaria cunninghamii,Araucaria cunninghamii,0.02346157,15.675,185.428962,85,7.712193814,468.39,100,g,o
Araucaria heterophylla,Araucaria heterophylla,0.02039578,22.21333333,144.7465659,100.8,8.847195922,392.856,94.038,g,o
Athrotaxis laxifolia,Athrotaxis laxifolia,0.089522152,49.08,381.9472551,296,24.87109748,643.52,100,g,o
Athrotaxis selaginoides,Athrotaxis selaginoides,0.061442024,27.36,462.5367229,151.6,15.45931077,681.216,100,g,o
Calocedrus decurrens,Calocedrus decurrens,0.116015556,86.75,394.1948303,381.8,44.17777438,515.396,88.776,g,o
Ceratozamia mexicana,Ceratozamia mexicana,0.029181933,NA,133.6292381,162,15.11881014,263.1,100,g,c
Chamaecyparis obtusa,Chamaecyparis obtusa,0.159204675,39.66666667,509.3508265,228.3333333,55.20766666,641.8866667,100,g,o
Cryptomeria japonica,Cryptomeria japonica,0.100017398,30.45,674.0782813,268,24.42291716,713.51,100,g,o
Cunninghamia lanceolata,Cunninghamia lanceolata,0.031282623,14.24,274.4198712,95.8,9.737736038,593.496,100,g,o
Dioon edule,Dioon edule,0.042799258,32.84,558.1295496,204.6,19.18444589,654.78,100,g,c
Dioon spinulosum,Dioon spinulosum,0.024536315,57.525,126.8805696,134.5,10.12771112,378.19,100,g,c
Encephalartos altensteinii,Encephalartos altensteinii,0.040373377,60.2,230.4245567,326,24.09696784,685.03,100,g,c
Encephalartos lehmannii,Encephalartos lehmannii,0.040943454,64.48,313.8148966,213,18.03198222,524.26,100,g,c
Ginkgo biloba,Ginkgo biloba,0.045085341,21.84,353.5940291,113.8,10.41291678,652.948,100,g,o
Glyptostrobus pensilis,Glyptostrobus pensilis,0.057345412,25.48,464.9896666,176,16.41387665,634.852,100,g,o
Larix decidua,Larix decidua,0.124970365,32.77777778,25.97932077,103.5,25.82566336,83.3,8.38,g,o
Lepidozamia peroffskyana,Lepidozamia peroffskyana,0.021668911,17.32,320.4008064,99,8.893760111,620.06,100,g,c
Macrozamia moorei,Macrozamia moorei,0.043246906,49.2,240.6177743,191,17.81807797,372.58,100,g,c
Picea abies,Picea abies,0.387236837,11,18.41730915,59.66666667,70.69025952,69.505,2.6275,g,o
Pinus armandii,Pinus armandii,0.041757096,14.7,385.9929625,144.75,13.91105148,609.855,100,g,p
Pinus ayacahuite,Pinus ayacahuite,0.037694116,13.04,292.4317238,114.4,9.656248707,584.844,100,g,p
Pinus pumila,Pinus pumila,0.058213805,17.04,402.530196,162.8,15.83182428,643.952,100,g,p
Pinus strobus,Pinus strobus,0.037205803,11.92,283.5823076,118,9.027632155,564.468,100,g,p
Pinus sylvestris,Pinus sylvestris,0.106063907,18.85,295.5132245,131,24.48985319,611.32,100,g,p
Podocarpus henckelii,Podocarpus henckelii,0.027000488,41.76,466.0366545,188.2,16.82713382,620.72,100,g,o
Podocarpus macrophyllus,Podocarpus macrophyllus,0.045446169,31.48,441.3168396,178,15.51169548,641.74,100,g,o
Sciadopitys verticillata,Sciadopitys verticillata,0.05520684,23.36,475.9041866,224.6,20.77228474,677.868,100,g,o
Sequoiadendron giganteum,Sequoiadendron giganteum,0.079633124,40.88,512.8268368,334.8,27.10035804,677.916,100,g,o
Taiwania crypotomoides,Taiwania crypotomoides,0.0278061,14.75,161.3173207,88.4,6.21631924,392.768,100,g,o
Taxodium distichum,Taxodium distichum,0.040563048,23.05,245.1129628,123,9.411786715,509.37,100,g,o
Taxodium mucronatum,Taxodium mucronatum,0.022428074,21,177.8221637,89.16666667,6.175575575,422.9,100,g,o
Thuja standishii,Thuja standishii,0.12648328,39.08,836.5332333,337,39.67850961,733.932,100,g,o
Tsuga mertensiana,Tsuga mertensiana,0.244329686,9.2,17.76119837,99,60.88849773,62.252,2.698,g,o
Widdringtonia wallichii,Widdringtonia wallichii,0.210630467,57.43333333,116.9300627,197.75,49.72182314,254.945,44.205,g,o
Wollemia nobilis,Wollemia nobilis,0.033443935,17.1,233.1222625,120.6666667,9.846385813,449.4933333,100,g,o
