species	size	maxtemp	temp.sum	speed.to.sensors	total.burning.time	percent.sample.burned	time.to.ignition	speed.to.edge
Cun	1	37.56	NA	NA	NA	0.725	2	
Cryp	12.5	736.88	720.2	27.4	220.4		2	47
Cryp	4ns	582.2	525.0	34.8	NA		1	74
Cryp	1	95.04	NA	NA	NA	7.183	3	
Cun	12.5	643.82	331.5	9.6	128.8		3	22
Cun	4ns	677.98	350.2	10.4	120		2	15
Cun	4as	423.92	244.7	30.4	122.2	95.6	1	62
Cryp	1	60.54	NA	NA	NA	5.883	2	
Cryp	12.5	717.46	652.3	24.6	215.8		1	29
Cun	1	30.08	NA	NA	NA	1.25	2	
Cun	12.5	686.86	405.6	12.4	152.4		1	18
Cryp	4as	637.66	687.5	51.6	322.4		2	97
Cryp	4ns	684.52	687.9	38.6	312.8		2	64
Cun	4as	542.32	407.2	44.2	181	97.75	1	49
Cun	4ns	684.48	350.3	10.8	132.4		1	18
Cun	1	34.14	NA	NA	NA	2.2	4	
Cryp	12.5	463.24	508.4	21	268.4	93.167	2	44
Cryp	4as	587.26	476.2	47	291.4		1	90
Cryp	4ns	544.86	NA	NA	NA		3	75
Cun	12.5	611.98	340.9	13.4	129.8		3	25
Cun	4as	376.48	NA	NA	NA	93.7	4	66
Cun	4ns	534.78	282.6	20.2	121		4	28
Cryp	1	59.54	NA	NA	NA	8	3	
Cryp	1	60.5	NA	NA	NA	5.13	1	
Cryp	4ns	629.34	487.5	47.4	NA		2	78
Cun	1	52.62	NA	NA	NA	6.5	2	
Cun	12.5	665.4	322.7	8.6	119.8		2	18
Cun	4as	432.12	306.2	22	167.2		3	58
Cun	4ns	628.72	326.3	13.4	143.8		1	22
Cryp	12.5	515.06	407.8	41.6	327		1	86
Cryp	4as	593.62	648.5	53	303		2	85
Cryp	12.5	640.8	669.4	59.2	326.6		2	85
Cryp	4as	489.54	435.5	63.4	207.8	97.7	2	93
Cryp	4ns	618.58	403.9	47	238.2	97.267	2	73
Cun	12.5	591.38	288.4	10.8	139.8		1	19
Cun	4as	323.54	222.4	30.4	101.4	91.925	1	52
Cun	4ns	627.32	312.5	9.2	145.6		1	17
